,CEP Estab
0,55780000
1,50010240
4,55016080
10,55002200
14,53130410
15,50030000
20,54310310
21,53010230
23,55125000
25,55590000
27,50070325
28,50030902
30,50761901
32,53510050
33,54350195
34,51011050
35,51010000
36,52010902
37,52010030
38,51130110
39,52061080
40,51021140
41,55765000
42,50050911
43,99999999
48,55012700
50,54768000
51,51170000
52,52061540
53,53010110
56,51030300
57,50070205
58,52171030
60,50090420
61,50610090
62,50030220
66,52060000
67,53030020
68,50110900
71,50810900
74,52011300
75,53520800
77,50030903
78,50850000
79,54525180
83,55695000
86,51020280
92,53030010
94,50900005
95,50100200
96,56308000
97,56308916
98,56302970
99,56300000
100,56304440
101,54735565
105,50090040
106,53427610
107,56320700
109,56300990
110,56306110
113,56302000
114,50100010
119,56308420
120,56302300
121,56304020
122,50050540
123,55805000
133,56334899
136,56306260
137,55750000
139,50070395
140,54590000
144,56302080
145,50670901
146,52010100
149,55820000
150,54110151
155,50040000
159,55940000
163,52020900
164,50000000
168,55355000
170,50711000
171,53120175
183,50980580
196,52061450
197,50070495
203,56300992
209,53700000
212,50050135
215,55130000
221,50870800
222,55460000
226,50070075
231,50070902
234,50770230
247,50070230
253,56304230
254,50050000
255,56318000
256,53110110
273,50070025
282,50070460
291,55670000
294,52041080
308,53230010
309,50070280
310,50730680
315,55602000
318,51170300
329,51130180
351,54510000
352,52020213
358,52041470
382,53120420
383,51150000
389,55158108
393,50070160
395,52040000
404,56353700
423,50010470
424,53030260
434,54160000
439,55014000
441,55641000
442,55636000
443,54210000
447,50711902
458,54460280
461,50751000
465,51021410
474,50751130
497,50780627
510,52011000
511,53350015
526,50720635
527,50920640
554,55870000
566,50050400
571,53600000
605,54410390
612,56304210
616,53515060
619,55660000
621,54220000
630,50710030
643,55900000
649,54759300
657,52010040
658,52010000
663,52050310
677,50781000
685,50640580
688,52050030
695,50830460
699,56903450
715,55650000
724,54160594
740,54705000
752,55515000
758,50740050
764,53040000
766,50070410
768,54110110
776,51020020
780,50720585
790,52021170
801,54270090
811,52011906
813,53120090
829,54800000
831,54310561
833,50010928
842,55950000
850,55811000
866,50670903
875,55630000
885,51110140
916,56309000
918,50010180
919,51020320
935,56540000
941,53411000
949,50030310
953,55024740
955,51150003
956,54335160
960,50740425
962,50050570
963,50720001
970,51220000
988,55250000
996,50740540
1020,50050480
1051,54335000
1058,51150004
1067,53690000
1068,53900000
1073,50070435
1079,55602020
1085,50010110
1102,53413000
1106,52050250
1109,51021310
1121,52010010
1181,50110000
1182,53401220
1224,55008000
1225,55560000
1228,55800000
1240,50050245
1244,52010150
1245,50050180
1246,50060130
1248,52010065
1266,52120100
1272,51011490
1273,51021280
1284,56600000
1302,50110005
1311,50070480
1348,55370000
1366,52010240
1416,53439000
1430,54325625
1470,51111040
1471,56304360
1486,52031070
1487,50740060
1488,55602210
1511,51110000
1515,54410100
1528,54505560
1534,55435000
1535,56640000
1551,51011000
1569,55592000
1594,54345150
1603,50830260
1630,53030050
1635,50780035
1643,56800000
1645,56200000
1646,56215000
1652,52051090
1656,55450000
1657,55170000
1658,51230170
1660,56510080
1667,50070235
1671,55825000
1675,53421035
1680,56332175
1735,55620000
1740,55495000
1762,54400160
1782,55016430
1793,55860000
1816,56170000
1817,50030230
1827,56190000
1829,52130170
1836,50030090
1866,52070230
1874,52011140
1899,51130220
1905,52021355
1926,55890000
1935,55550000
1958,53080050
1963,55850000
1973,55612510
1974,55602001
1976,51200110
1978,52060070
1984,51110020
2066,52020060
2067,50760090
2085,54510460
2088,52020000
2098,55012080
2100,55500000
2101,52081550
2160,50740465
2169,51320180
2172,56380000
2174,50050365
2176,50020290
2182,52010300
2183,52070200
2201,50010970
2202,50050250
2231,55200000
2234,51180001
2242,50040180
2248,50900290
2249,52020140
2275,52060904
2318,50050909
2336,53010240
2340,53230000
2367,56280000
2370,52020220
2401,54515730
2415,50040190
2433,52011210
2436,55016445
2448,55280000
2449,50010000
2455,50070335
